sent_bucket,trades,mean_closedpnl,median_closedpnl,win_rate,mean_notional
Fear,16195,110.134332769682,0.0,0.3690027786353813,5511.246131522074
Greed,16913,104.44783351339207,0.0,0.47478271152368,4450.397682847514
Neutral,2756,27.08880333091437,0.0,0.4949201741654572,4332.202906386067
