trade_date,daily_pnl_sum,daily_trades,daily_win_rate,daily_fg_value
2024-05-06,56.055506,54,0.2962962962962963,71.0
2024-05-07,0.0,32,0.0,68.0
2024-05-08,-13013.665169,80,0.4125,64.0
2024-05-09,0.0,1,0.0,55.0
2024-05-10,5767.161892,37,0.6486486486486487,66.0
2024-05-11,678.4759280000001,10,0.5,53.0
2024-05-12,71574.11848800001,456,0.4232456140350877,56.0
2024-06-01,135.58166400000002,22,0.45454545454545453,72.0
2024-06-02,-215.615907,1088,0.1645220588235294,73.0
2024-06-03,6814.825139,82,0.8780487804878049,73.0
2024-06-04,236.33513399999998,16,0.25,73.0
2024-06-05,968.59038,9,0.4444444444444444,75.0
2024-06-06,274.173187,234,0.42735042735042733,78.0
2024-06-07,108.87217799999999,24,0.2916666666666667,77.0
2024-06-08,267.318048,107,0.12149532710280374,72.0
2024-06-09,-1104.856765,42,0.0,75.0
2024-06-10,130.487079,22,0.22727272727272727,72.0
2024-06-11,2817.83723,15,0.4666666666666667,74.0
2024-06-12,-92624.643895,403,0.23325062034739455,72.0
2024-07-01,-835.681235,97,0.09278350515463918,53.0
2024-07-02,241.24212,15,0.13333333333333333,51.0
2024-07-04,0.0,23,0.0,44.0
2024-07-05,883.537693,18,0.5,29.0
2024-07-06,8902.467416,440,0.4,26.0
2024-07-07,61.428942,10,1.0,29.0
2024-07-08,188.789255,33,0.30303030303030304,28.0
2024-07-10,0.0,21,0.0,28.0
2024-07-11,4493.353136,113,0.5309734513274337,29.0
2024-07-12,85906.279067,304,0.4309210526315789,25.0
2024-08-01,-269.874439,128,0.25,52.0
2024-08-02,770.756024,10,0.4,57.0
2024-08-03,4271.886236,67,0.8805970149253731,37.0
2024-08-04,1218.4267,30,0.03333333333333333,34.0
2024-08-05,1.56576,13,0.07692307692307693,26.0
2024-08-06,129.13883900000002,29,0.27586206896551724,17.0
2024-08-07,0.0,1,0.0,29.0
2024-08-08,-40.712216999999995,9,0.0,20.0
2024-08-09,0.0,1,0.0,48.0
2024-08-10,5396.546638,36,0.9166666666666666,40.0
2024-08-11,-64.41354100000007,39,0.15384615384615385,39.0
2024-08-12,15965.933436,420,0.3619047619047619,25.0
2024-09-01,-826.349863,70,0.2571428571428571,26.0
2024-09-03,9949.501624,117,0.8290598290598291,26.0
2024-09-04,0.0,3,0.0,27.0
2024-09-05,1147.595856,28,0.39285714285714285,29.0
2024-09-06,0.0,17,0.0,22.0
2024-09-07,648.984412,15,1.0,23.0
2024-09-08,18082.071276,144,0.2986111111111111,29.0
2024-09-09,0.0,2,0.0,26.0
2024-09-10,396.06272,14,0.21428571428571427,33.0
2024-09-11,102.90894,86,0.22093023255813954,37.0
2024-09-12,6310.967676,539,0.31910946196660483,31.0
2024-10-01,-1517.091342,193,0.21243523316062177,50.0
2024-10-03,2482.9272,42,0.6904761904761905,37.0
2024-10-04,5207.443414,41,0.8780487804878049,41.0
2024-10-05,2101.741695,22,0.2727272727272727,49.0
2024-10-06,31.266804999999998,53,0.33962264150943394,50.0
2024-10-07,11977.734907,56,0.6785714285714286,50.0
2024-10-08,0.0,88,0.0,49.0
2024-10-09,-219.729659,3,0.0,49.0
2024-10-10,0.0,16,0.0,39.0
2024-10-11,991.114334,173,0.2947976878612717,32.0
2024-10-12,39325.770231,1596,0.5870927318295739,49.0
2024-11-01,-164.08950099999998,21,0.23809523809523808,75.0
2024-11-02,983.443176,34,0.20588235294117646,72.0
2024-11-03,3588.179495,42,0.9285714285714286,74.0
2024-11-04,389.743164,16,0.125,70.0
2024-11-05,251.604742,9,1.0,70.0
2024-11-06,4320.631811,123,0.13821138211382114,70.0
2024-11-07,1876.812082,19,0.47368421052631576,77.0
2024-11-08,847.7766200000001,24,0.16666666666666666,75.0
2024-11-09,0.0,1,0.0,75.0
2024-11-10,8885.327477,26,0.6923076923076923,78.0
2024-11-11,6749.630996,373,0.24664879356568364,76.0
2024-11-12,319051.554217,1221,0.7125307125307125,80.0
2024-12-01,-1925.519024,7,0.0,81.0
2024-12-02,913.8817869999998,16,0.375,80.0
2024-12-03,3039.166,8,0.875,76.0
2024-12-04,-592.6458390000001,129,0.5503875968992248,78.0
2024-12-05,0.0,23,0.0,84.0
2024-12-06,-21886.531493,254,0.08267716535433071,72.0
2024-12-07,1412.314654,19,0.47368421052631576,75.0
2024-12-08,858.6705000000001,48,0.125,79.0
2024-12-10,541.55471,10,0.7,78.0
2024-12-11,3494.399394,171,0.19883040935672514,74.0
2024-12-12,599151.795008,1932,0.6997929606625258,83.0
2025-01-01,-9528.065345,96,0.3020833333333333,66.0
2025-01-02,32300.205017,634,0.5962145110410094,70.0
2025-01-03,10596.108968,174,0.4482758620689655,74.0
2025-01-04,-2202.6622420000003,192,0.4583333333333333,73.0
2025-01-05,54536.829297000004,1230,0.43089430894308944,72.0
2025-02-01,8716.519087,361,0.45706371191135736,68.0
2025-02-02,162854.759623,1319,0.35860500379075055,60.0
2025-02-03,66914.320708,532,0.5018796992481203,44.0
2025-02-04,202212.740938,1076,0.8949814126394052,72.0
2025-03-01,6028.486793,508,0.27165354330708663,20.0
2025-03-02,348871.326269,2380,0.4634453781512605,26.0
2025-03-03,616413.032233,1482,0.6153846153846154,33.0
2025-03-04,-2365.961276,1748,0.2974828375286041,15.0
2025-04-01,2553.537968,371,0.20215633423180593,34.0
2025-04-02,416876.88812,2512,0.276671974522293,44.0
2025-04-03,182075.566585,2402,0.25353871773522063,25.0
2025-04-04,-25515.678949999998,1272,0.38757861635220126,28.0
2025-05-01,3187.719363,239,0.41841004184100417,53.0
2025-05-02,56706.235562,1297,0.3215111796453354,67.0
2025-05-03,269328.365917,1660,0.7584337349397591,
2025-05-04,35907.33771,360,0.5805555555555556,
2025-06-01,6064.185393,573,0.15532286212914484,
2025-06-02,33803.799733,1703,0.46095126247798,
2025-06-03,16101.125561,760,0.48026315789473684,
2025-06-04,47053.449272,1048,0.31679389312977096,
2025-07-01,16098.227531,637,0.7613814756671899,
2025-07-02,22450.002091,1524,0.2821522309711286,
2025-07-03,150236.061627,2552,0.5223354231974922,
2025-07-04,34527.370305,2814,0.23916133617626156,
2025-08-01,130117.090554,1039,0.37151106833493747,
2025-08-02,586.703253,575,0.19130434782608696,
2025-08-03,24700.773359,529,0.5689981096408318,
2025-08-04,34899.394798,943,0.4093319194061506,
2025-09-01,46975.928902,522,0.2777777777777778,
2025-09-02,150551.829492,764,0.4306282722513089,
2025-09-03,19773.457395,1422,0.4409282700421941,
2025-09-04,43120.444797,3967,0.43055205444920597,
2025-10-01,-10116.875552,819,0.5274725274725275,
2025-10-02,63908.49465,889,0.4780652418447694,
2025-10-03,-10010.027269999999,2911,0.39745791824115423,
2025-10-04,158261.822261,2127,0.5289139633286318,
2025-11-01,2269.080536,283,0.24381625441696114,
2025-11-02,-6093.784817,848,0.21816037735849056,
2025-11-03,-76880.729036,3286,0.18746195982958003,
2025-11-04,126406.479081,1096,0.3357664233576642,
2025-12-01,5742.241803,602,0.7840531561461794,
2025-12-02,19848.635032,1031,0.4626576139670223,
2025-12-03,288105.984215,3968,0.5645161290322581,
2025-12-04,410419.694533,2109,0.2721669037458511,
